Order_ID,Area,City,Region_Name,Restaurant_Name,Price_Category,Price,Popularity_Index,Popularity,Avg ratings,Total ratings,Rating_Category,Demand_Category,Food type,Cuisine_Count,Address,Delivery_Time_Mins,Delivery_Category
211,Koramangala,Bangalore,Bangalore - Koramangala,Tandoor Hut,Medium,300,1.69,Moderate,4.4,100,Good,Normal,"Biryani,Chinese,North Indian,South Indian",4,5Th Block,59,Standard
221,Koramangala,Bangalore,Bangalore - Koramangala,Tunday Kababi,Medium,300,1.79,Moderate,4.1,100,Good,Normal,"Mughlai,Lucknowi",2,5Th Block,56,Standard
246,Jogupalya,Bangalore,Bangalore - Jogupalya,Kim Lee,High,650,2,High,4.4,100,Good,Normal,Chinese,1,Double Road,50,Standard
248,Indiranagar,Bangalore,Bangalore - Indiranagar,New Punjabi Hotel,Medium,250,8.77,Very High,3.9,500,Average,Normal,"North Indian,Punjabi,Tandoor,Chinese",4,80 Feet Road,57,Standard
249,Indiranagar,Bangalore,Bangalore - Indiranagar,Nh8,Medium,350,0.79,Low,4,50,Good,Normal,"Rajasthani,Gujarati,North Indian,Snacks,Desserts,Beverages,Thalis,Chaat",8,80 Feet Road,63,Slow
254,Indiranagar,Bangalore,Bangalore - Indiranagar,Treat,High,800,1.79,Moderate,4.5,100,Excellent,Normal,"Mughlai,North Indian",2,100 Feet Road,56,Standard
258,Indiranagar,Bangalore,Bangalore - Indiranagar,Chinita Real Mexican Food,High,1000,9.43,Very High,4.5,500,Excellent,Normal,"Mexican,Beverages,Salads",3,Double Road,53,Standard
263,Koramangala,Bangalore,Bangalore - Koramangala,Cupcake Noggins - Cakespastries And Desserts,Low,150,1.75,Moderate,4.3,100,Good,Normal,"Desserts,British,Bakery,Pizzas,Snacks",5,4Th Block,57,Standard
267,Domlur,Bangalore,Bangalore - Domlur,Tea Brew,Medium,350,1.75,Moderate,4.1,100,Good,Normal,"American,Italian,Beverages,Continental,Chinese,Pastas,Pizzas,Fast Food",8,Double Road,57,Standard
308,Koramangala,Bangalore,Bangalore - Koramangala,Bangaliana,Medium,300,8.77,Very High,4,500,Good,Normal,Bengali,1,7Th Block,57,Standard
435,Koramangala,Bangalore,Bangalore - Koramangala,Bamey'S Restro Cafe,Medium,400,1.79,Moderate,4.4,100,Good,Normal,"Chinese,Thai,Nepalese",3,5Th Block,56,Standard
446,Cooke Town,Bangalore,Bangalore - Cooke Town,Altaf'S Chillies Restaurants,Medium,250,9.09,Very High,4.3,500,Good,Normal,"North Indian,Chinese",2,Cooke Town,55,Standard
453,Pulikeshi Nagar,Bangalore,Bangalore - Pulikeshi Nagar,Chichabas Taj,High,532,1.85,Moderate,4.2,100,Good,Normal,"Mughlai,North Indian,Biryani",3,Mm Road,54,Standard
464,Sivanchetti Gardens,Bangalore,Bangalore - Sivanchetti Gardens,Urban Solace,Medium,500,1.67,Moderate,2.9,80,Poor,Normal,"American,Continental",2,Ulsoor Lake,48,Standard
504,Kodihalli,Bangalore,Bangalore - Kodihalli,Kaati Zone Rolls & Wraps,Low,150,1.69,Moderate,4.3,100,Good,Normal,"Fast Food,Beverages,Bengali,Biryani,Indian,North Indian,Snacks,Street Food",8,Domlur Layout,59,Standard
604,Koramangala,Bangalore,Bangalore - Koramangala,Aalishan Restaurant & Caterer,Medium,290,1.92,Moderate,4.3,100,Good,Normal,"Mughlai,North Indian",2,7Th Block,52,Standard
608,Domlur,Bangalore,Bangalore - Domlur,Kerala Pavilion,Medium,300,1.82,Moderate,4.1,100,Good,Normal,"Kerala,Seafood",2,Domlur Layout,55,Standard
621,Indiranagar,Bangalore,Bangalore - Indiranagar,Kitchen Of Joy,Medium,250,1.82,Moderate,4.4,100,Good,Normal,"Bengali,Fast Food,Chinese",3,Domlur,55,Standard
1050,Jayanagar,Bangalore,Bangalore - Jayanagar,Nagarjuna Chimney,High,800,20.83,Very High,4.2,1000,Good,High Demand,"Seafood,Andhra,Biryani,South Indian,Combo,Desserts,Beverages",7,3Rd Block,48,Standard
1299,Film Nagar,Hyderabad,Hyderabad - Film Nagar,So. The Sky Kitchen,High,800,0.89,Low,2.9,80,Poor,Normal,"Mughlai,North Indian,Chinese,Thai,Asian",5,Near Apollo Health City Gate,90,Slow
1304,Indiranagar,Bangalore,Bangalore - Indiranagar,Esplanade,High,1200,1.85,Moderate,4.3,100,Good,Normal,"Mughlai,Bengali",2,I Indirangar,54,Standard
1457,Banashankari,Bangalore,Bangalore - Banashankari,Hotel New Karavali,Medium,250,1.89,Moderate,3.8,100,Average,Normal,"North Indian,Chinese,South Indian",3,Bsk 1St Stage,53,Standard
1547,Masab Tank,Hyderabad,Hyderabad - Masab Tank,Dine Hill,Medium,400,10.2,Very High,4.1,500,Good,Normal,"Arabian,Biryani,North Indian,Chinese",4,Ahmed Nagar,49,Standard
1590,Banjara Hills,Hyderabad,Hyderabad - Banjara Hills,Sarvi Restaurant,Medium,400,89.29,Very High,4.1,5000,Good,High Demand,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",7,Road 11,56,Standard
1593,Banjara Hills,Hyderabad,Hyderabad - Banjara Hills,Sarvi Bakery,Medium,250,1.72,Moderate,4.1,100,Good,Normal,"Desserts,Fast Food,Bakery",3,Opposite Care Hospital Road 11 Banjara Hills,58,Standard
1609,Andheri East,Mumbai,Mumbai - Andheri East,Kung Fu Panda,High,600,1.72,Moderate,4.3,100,Good,Normal,Chinese  Thai  Asian,1,Marol,58,Standard
1617,Powai,Mumbai,Mumbai - Powai,Kosho,Medium,300,1.79,Moderate,4.2,100,Good,Normal,"Mughlai,North Indian,Chinese,Seafood,Italian",5,Chandivali,56,Standard
1844,Punjagutta,Hyderabad,Hyderabad - Punjagutta,Chinese Pavilion,High,850,7.81,Very High,4.3,500,Good,Normal,"Chinese,Seafood",2,Nagarjuna Circle,64,Slow
1848,Banjara Hills,Hyderabad,Hyderabad - Banjara Hills,Chef Inam'S Steak House,High,1200,1.45,Moderate,4.2,100,Good,Normal,"Steakhouse,American",2,Sri Ram Nagar Colony Banjara Hills,69,Slow
1874,Indiranagar,Bangalore,Bangalore - Indiranagar,Mamagoto,High,900,1.69,Moderate,4.2,100,Good,Normal,"Chinese,Asian,Pan-Asian,Thai,Oriental",5,Mamagoto,59,Standard
1884,Powai,Mumbai,Mumbai - Powai,Hakka Express,Medium,300,2.08,High,4,100,Good,Normal,"Chinese,Asian,Thai",3,Narayan Plaza,48,Standard
2008,Indiranagar,Bangalore,Bangalore - Indiranagar,The Brekkie Shop - All Day Menu,Medium,200,8.77,Very High,4.3,500,Good,Normal,"British,Italian,Indian,Chinese,South Indian,North Indian,Desserts",7,1St Stage,57,Standard
2042,Aundh,Pune,Pune - Aundh,Juice Destination,Medium,200,8.33,Very High,4.2,500,Good,Normal,"Thalis,North Indian,Punjabi,Beverages",4,Iti Road Aundh,60,Standard
2047,Aundh,Pune,Pune - Aundh,Hyderabadi Spice,Medium,400,17.24,Very High,4.2,1000,Good,High Demand,"Biryani,Mughlai,North Indian,Chinese",4,Parihar Chowk,58,Standard
2102,Aundh,Pune,Pune - Aundh,Cafe Peterdonuts,Medium,400,0.7,Low,4.1,50,Good,Normal,"Continental,Desserts",2,Gaikwad Nagar,71,Slow
2250,Baner,Pune,Pune - Baner,Karolbaug,High,750,0.69,Low,4.1,50,Good,Normal,"Mughlai,North Indian,Chinese,Biryani",4,Sakal Nagar,72,Slow
2312,Powai Area,Mumbai,Mumbai - Powai Area,The Punjabi'S Kitchen,Medium,500,7.69,Very High,4.4,500,Good,Normal,North Indian,1,Guru Hargobindji Marg  Andheri East,65,Slow
2344,Ramgopalpet,Hyderabad,Hyderabad - Ramgopalpet,Aangan - Yatri Nivas,Medium,500,1.52,Moderate,4.1,100,Good,Normal,North Indian  South Indian,1,S P Road,66,Slow
2348,Kalasiguda,Hyderabad,Hyderabad - Kalasiguda,Bluefox,High,800,14.71,Very High,4.2,1000,Good,High Demand,Biryani  North Indian  Chinese  Tandoor,1,Sd Road,68,Slow
2516,Aundh,Pune,Pune - Aundh,Taaareef,High,1100,1.49,Moderate,4.4,100,Good,Normal,"Mughlai,North Indian,Seafood,Biryani",4,Iti Road,67,Slow
2770,Kalasiguda,Hyderabad,Hyderabad - Kalasiguda,Flavours Of Taj Mahal Hotel,Medium,300,17.54,Very High,4.2,1000,Good,High Demand,North Indian  Chinese  Desserts  Continental  South Indian,1,Sd Road,57,Standard
2776,Adarsh Nagar,Hyderabad,Hyderabad - Adarsh Nagar,Ohri'S Eatmor,High,600,13.51,Very High,4.2,500,Good,Normal,"Ice Cream,Beverages,Desserts,Chaat,Italian",5,New Mla Quarters,37,Standard
2777,Adarsh Nagar,Hyderabad,Hyderabad - Adarsh Nagar,Ohri'S Ming'S Court,Medium,500,25.64,Very High,4,1000,Good,High Demand,Chinese,1,New Mla Quarters,39,Standard
2795,Himayatnagar,Hyderabad,Hyderabad - Himayatnagar,Minerva Coffee Shop,Medium,500,33.33,Very High,4.3,1000,Good,High Demand,"South Indian,North Indian,Chinese",3,Himayath Nagar Road,30,Fast
2796,Himayatnagar,Hyderabad,Hyderabad - Himayatnagar,Bluefox,High,800,27.78,Very High,4.1,1000,Good,High Demand,"Biryani,North Indian,Chinese,Tandoor",4,Himayath Nagar Road,36,Standard
2811,Ashok Nagar,Bangalore,Bangalore - Ashok Nagar,Art Of Delight,Medium,250,2.94,High,4.6,100,Excellent,Normal,"Ice Cream,Desserts,Beverages",3,Residency Road,34,Standard
2820,Commercial Street,Bangalore,Bangalore - Commercial Street,Khan Saheb Grills And Rolls,Medium,300,1.28,Moderate,4.3,50,Good,Normal,"Tandoor,Mughlai,North Indian,Kebabs",4,Kamaraj Road,39,Standard
2824,Richmond Town,Bangalore,Bangalore - Richmond Town,Fanoos,Medium,300,15.15,Very High,4.2,500,Good,Normal,"Biryani,Tandoor,Kebabs,Barbecue,Fast Food",5,Hosur Road,33,Standard
2827,Richmond Town,Bangalore,Bangalore - Richmond Town,In Wok,Medium,500,2.27,High,4.3,100,Good,Normal,Chinese,1,Richmond,44,Standard
2832,Ashok Nagar,Bangalore,Bangalore - Ashok Nagar,Lakeview Milkbar,Medium,450,3.23,High,4.1,100,Good,Normal,"Desserts,Ice Cream,Bakery,Fast Food",4,Mg Road,31,Standard
2839,Ashok Nagar,Bangalore,Bangalore - Ashok Nagar,C Sharp Kitchen,Medium,300,2.42,High,2.9,80,Poor,Normal,"Chinese,Continental,Fast Food",3,Church Street,33,Standard
2840,Ashok Nagar,Bangalore,Bangalore - Ashok Nagar,Roomali,High,1000,2.86,High,4.4,100,Good,Normal,"North Indian,Indian",2,Church Street,35,Standard
2843,Ashok Nagar,Bangalore,Bangalore - Ashok Nagar,Tadka Singh,Medium,300,2.63,High,4.2,100,Good,Normal,"Punjabi,North Indian",2,Church Street,38,Standard
2914,Ashok Nagar,Bangalore,Bangalore - Ashok Nagar,Bheemas,High,550,3.23,High,4.3,100,Good,Normal,Andhra,1,Church Street,31,Standard
2915,Vasanth Nagar,Bangalore,Bangalore - Vasanth Nagar,Watson'S,Medium,450,1.51,Moderate,2.9,80,Poor,Normal,Fast Food,1,1St Main Road,53,Standard
2964,Andheri East,Mumbai,Mumbai - Andheri East,Sai Leela,Medium,500,0.32,Low,4.2,20,Good,Normal,"Mughlai,North Indian,Chinese,Seafood",4,Andheri East,63,Slow
3007,Bhowanipore,Kolkata,Kolkata - Bhowanipore,Tandoori Darbar,Medium,500,1.41,Moderate,4.4,100,Good,Normal,"North Indian,Chinese,Tandoor,Biryani,Beverages,Desserts",6,Hazra Road,71,Slow
3010,Ballygunge,Kolkata,Kolkata - Ballygunge,Ballygunge Dhaba,Medium,500,8.47,Very High,4.3,500,Good,Normal,"North Indian,Biryani,Chinese",3,Ballygunge,59,Standard
3018,Gariahat,Kolkata,Kolkata - Gariahat,Tero Parbon,Medium,500,1.39,Moderate,4.3,100,Good,Normal,Bengali,1,Purna Das Road Hindustan Park,72,Slow
3020,Ballygunge,Kolkata,Kolkata - Ballygunge,Wise Owl The Coffee Shop,High,700,1.32,Moderate,4.3,100,Good,Normal,"Continental,American,Cafe",3,Purnadas Road,76,Slow
3022,Gariahat,Kolkata,Kolkata - Gariahat,Aminia Restaurant- Golpark,Medium,500,14.93,Very High,4.3,1000,Good,High Demand,"Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor",6,Ballygunge Gardens,67,Slow
3025,Gariahat,Kolkata,Kolkata - Gariahat,Bedouin - Sher E Bengal,Medium,500,1.14,Moderate,2.9,80,Poor,Normal,"North Indian,Chinese,Bengali",3,Gariahat Road Gariahat,70,Slow
3031,Ballygunge,Kolkata,Kolkata - Ballygunge,Sharma Dhaba,Medium,300,18.52,Very High,4.2,1000,Good,High Demand,North Indian  Fast Food  Tandoor  Biryani  Kebabs  Snacks  Chinese,1,Ballygunge Circular Road  Ballygunge Maidan Camp  Ballygunge,54,Standard
3063,Indiranagar,Bangalore,Bangalore - Indiranagar,Kund Indian Barbeque,Medium,200,1.72,Moderate,4.2,100,Good,Normal,"Mughlai,North Indian,Biryani,Kebabs,Desserts",5,1St Stage,58,Standard
3071,Bhowanipore,Kolkata,Kolkata - Bhowanipore,Jai Hind Dhaba,Medium,500,16.67,Very High,4.3,1000,Good,High Demand,"North Indian,Indian,Tandoor,Kebabs,Punjabi,Home Food,Chinese",7,Sarat Bose Road Paddapukur,60,Standard
3074,Kalighat,Kolkata,Kolkata - Kalighat,Tamarind,High,1100,1.37,Moderate,4.4,100,Good,Normal,"North Indian,South Indian",2,Sarat Bose Road Desapriya Park,73,Slow
3207,Pulikeshi Nagar,Bangalore,Bangalore - Pulikeshi Nagar,Pathaan Sir,Medium,300,2.13,High,4.2,100,Good,Normal,Fast Food,1,Coles Road,47,Standard
3265,Indiranagar,Bangalore,Bangalore - Indiranagar,Chaipatty,Medium,200,0.89,Low,3.9,50,Average,Normal,"Fast Food,Beverages,Pizzas,Street Food,Snacks",5,Hanumanthanagar,56,Standard
3279,Powai Area,Mumbai,Mumbai - Powai Area,5 Spice,High,1100,9.43,Very High,4.2,500,Good,Normal,"Chinese,Desserts",2,Powai Area,53,Standard
3324,Punjagutta,Hyderabad,Hyderabad - Punjagutta,Srikanya,Medium,250,17.86,Very High,4.1,1000,Good,High Demand,"Andhra,Seafood",2,Punjagutta Road,56,Standard
3326,Sion,Mumbai,Mumbai - Sion,Cafe Vrindavan,Medium,500,2.38,High,4.3,100,Good,Normal,"North Indian,Chinese,South Indian",3,Sion Station,42,Standard
3329,Mumbai,Mumbai,Mumbai - Mumbai,Ramdeo,Medium,450,11.36,Very High,4,500,Good,Normal,"North Indian,Chinese,South Indian,Fast Food",4,Sion Station,44,Standard
3331,Mumbai,Mumbai,Mumbai - Mumbai,Shabari,Medium,400,2.08,High,3.9,100,Average,Normal,"North Indian,South Indian,Fast Food",3,Sion West,48,Standard
3332,Rajajinagar,Bangalore,Bangalore - Rajajinagar,The Purple Pan,Medium,400,17.86,Very High,4.1,1000,Good,High Demand,"Mughlai,North Indian,Chinese,Arabian",4,Dr. Rajkumar Road,56,Standard
3350,Pulikeshi Nagar,Bangalore,Bangalore - Pulikeshi Nagar,Moriz Nano,Medium,500,1.6,Moderate,2.9,80,Poor,Normal,"North Indian,Chinese,Biryani,Seafood",4,Lakeview,50,Standard
3369,Ashok Nagar,Bangalore,Bangalore - Ashok Nagar,Truffles,Medium,450,34.48,Very High,4.5,1000,Excellent,High Demand,"American,Desserts,Continental,Italian",4,St. Marks Road,29,Fast
3439,Golpark,Kolkata,Kolkata - Golpark,The Grub Club,Medium,400,14.49,Very High,4.3,1000,Good,High Demand,"Italian,Chinese,Thai",3,Golpark,69,Slow
3454,Koramangala,Bangalore,Bangalore - Koramangala,Lazeez,Medium,500,9.09,Very High,4.2,500,Good,Normal,"North Indian,Mughlai",2,5Th Block,55,Standard
3531,Shivajinagar,Pune,Pune - Shivajinagar,Marrakesh,Medium,300,2.17,High,4,100,Good,Normal,"Lebanese,North Indian,Afghani,Mughlai,Combo,Biryani,Kebabs,Mediterranean,Arabian,Middle Eastern,Desserts",11,Fc Road,46,Standard
3549,Banjara Hills,Hyderabad,Hyderabad - Banjara Hills,Keshav Reddy Sweets,Low,150,7.69,Very High,4.2,500,Good,Normal,"Sweets,Bakery,Desserts,Fast Food,Street Food,Chaat",6,Road No 2,65,Slow
3813,Gariahat,Kolkata,Kolkata - Gariahat,Kimli,High,600,1.45,Moderate,4.4,100,Good,Normal,"Chinese,Seafood",2,Purnadas Road,69,Slow
3830,Koregaon Park,Pune,Pune - Koregaon Park,Prem'S,High,1200,1.89,Moderate,4.2,100,Good,Normal,"North Indian,Chinese,Continental,Asian,Desserts,Beverages",6,Koregaon Park,53,Standard
3835,Deccan Gymkhana,Pune,Pune - Deccan Gymkhana,The Chocolate Room,Medium,450,2.05,High,2.9,80,Poor,Normal,"Desserts,Continental,Fast Food",3,Fc Road,39,Standard
3855,Koregaon Park,Pune,Pune - Koregaon Park,Uncle'S Chinese,Medium,350,18.18,Very High,4.1,1000,Good,High Demand,"Chinese,Thai,Malaysian",3,Koregaon Park,55,Standard
3889,Jayanagar,Bangalore,Bangalore - Jayanagar,House Of Kebab'S,Medium,500,0.98,Low,3.7,50,Average,Normal,"North Indian,Chinese,Biryani",3,Rv Road,51,Standard
3914,Karkhana,Hyderabad,Hyderabad - Karkhana,Oh So Stoned,Medium,300,1.47,Moderate,3.9,100,Average,Normal,Ice Cream  Desserts,1,Vikrampuri Colony,68,Slow
4051,Kothrud,Pune,Pune - Kothrud,Zest Cafe Bar,Medium,250,0.35,Low,4.2,20,Good,Normal,"Chinese,Fast Food",2,Ideal Chambers  Kothrud,57,Standard
4064,Koregaon Park,Pune,Pune - Koregaon Park,Seven - Shawarma And Burgers,Medium,250,1.96,Moderate,3.9,100,Average,Normal,"Lebanese,Fast Food,Snacks,Arabian",4,Koregaon Park,51,Standard
4086,Kothrud,Pune,Pune - Kothrud,Rushhrs,Medium,250,2.17,High,4.3,100,Good,Normal,"Salads,Healthy Food",2,Karishma Housing Society,46,Standard
4087,Erandwane,Pune,Pune - Erandwane,Aroma'S Hyderabad House - Karve Road,Medium,400,14.29,Very High,4.2,500,Good,Normal,"Biryani,Mughlai,North Indian,Chinese",4,Karve Road,35,Standard
4138,Koti,Hyderabad,Hyderabad - Koti,Grand Hotel,Medium,300,416.67,Very High,4.1,10000,Good,High Demand,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",6,Abids Road,24,Fast
4188,Dilsukhnagar,Hyderabad,Hyderabad - Dilsukhnagar,Tipsy Topsy,Medium,250,12.82,Very High,3.7,500,Average,Normal,Chinese  Italian  Desserts  Bakery  Fast Food,1,Dilsukhnagar Main Road,39,Standard
4248,Nagole,Hyderabad,Hyderabad - Nagole,Hotel Swagath Grand - Dhanturi Group Of Hotels,Medium,300,14.93,Very High,3.9,1000,Average,Normal,"Biryani,Chinese,South Indian,North Indian,Tandoor",5,Alkapuri X Roads,67,Slow
